theta_e,psf_fwhm,depth_5sig,threshold,threshold_type,fpr_target,source_mag_bin,n_injections,n_detected,n_failed,completeness,ci68_lo,ci68_hi,ci95_lo,ci95_hi,mean_score,mean_arc_snr,sufficient
0.5,0.9,22.5,0.3,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,22.5,0.5,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,22.5,0.7,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,22.5,0.8058655117092153,FPR=1.0e-03,0.001,all,0,0,0,,,,,,,,False
0.5,0.9,22.5,0.9950980914444324,FPR=1.0e-04,0.0001,all,0,0,0,,,,,,,,False
0.5,0.9,23.0,0.3,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,23.0,0.5,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,23.0,0.7,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,23.0,0.8058655117092153,FPR=1.0e-03,0.001,all,0,0,0,,,,,,,,False
0.5,0.9,23.0,0.9950980914444324,FPR=1.0e-04,0.0001,all,0,0,0,,,,,,,,False
0.5,0.9,23.5,0.3,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,23.5,0.5,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,23.5,0.7,fixed,,all,0,0,0,,,,,,,,False
0.5,0.9,23.5,0.8058655117092153,FPR=1.0e-03,0.001,all,0,0,0,,,,,,,,False
0.5,0.9,23.5,0.9950980914444324,FPR=1.0e-04,0.0001,all,0,0,0,,,,,,,,False
0.5,0.9,24.0,0.3,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,2.8063562290043756e-05,1.522577432245016,True
0.5,0.9,24.0,0.3,fixed,,23-24,170,0,0,0.0,0.0001197018876596781,0.005781234431976999,2.8841898437279786e-06,0.01464608285204859,2.7845888624404416e-05,2.865122371561387,True
0.5,0.9,24.0,0.3,fixed,,24-25,168,0,0,0.0,0.00012112470337032898,0.005849754743158055,2.9184742930896795e-06,0.014818884532030443,2.853507030036131e-05,1.186302817293576,True
0.5,0.9,24.0,0.3,fixed,,25-26,162,0,0,0.0,0.00012560359926985177,0.006065420305510952,3.0263989674560753e-06,0.0153626523172214,2.780301400254585e-05,0.4624632077268612,True
0.5,0.9,24.0,0.3,fixed,,lensed_18-20,0,0,0,,,,,,,,False
0.5,0.9,24.0,0.3,fixed,,lensed_20-22,121,0,0,0.0,0.00016807201494000327,0.008108060732869219,4.04975274408481e-06,0.02050381716862344,2.8690441272013492e-05,3.180308316364761,True
0.5,0.9,24.0,0.3,fixed,,lensed_22-24,325,0,0,0.0,6.26590125768714e-05,0.0030303340948626112,1.5097126604968478e-06,0.00769336213711455,2.763471341051289e-05,1.1074122974047294,True
0.5,0.9,24.0,0.3,fixed,,lensed_24-27,54,0,0,0.0,0.0003756026073342951,0.018030776585862295,9.05119117203745e-06,0.045246210378820526,2.9239923938732487e-05,0.3067113552932386,True
0.5,0.9,24.0,0.5,fixed,,all,500,0,0,0.0,4.0739771573051846e-05,0.0019712935049890257,9.815777236487957e-07,0.0050087878001096745,2.8063562290043756e-05,1.522577432245016,True
0.5,0.9,24.0,0.5,fixed,,23-24,170,0,0,0.0,0.0001197018876596781,0.005781234431976999,2.8841898437279786e-06,0.01464608285204859,2.7845888624404416e-05,2.865122371561387,True
